,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,ec_gate_depolar_prob
0,0,5.858920299999999,0.66,3.866887398,0,0,1,0,0.025
1,1,5.8589204,0.69,4.042655075999999,0,0,1,1,0.030000000000000002
2,2,5.8589199,0.7,4.10124393,1,0,1,1,0.035
3,3,5.8589207,0.74,4.335601317999999,1,1,0,1,0.04000000000000001
4,4,5.858918999999999,0.56,3.28099464,1,1,1,1,0.045000000000000005
5,5,5.8589202,0.58,3.3981737159999996,0,0,1,0,0.05
6,6,5.8589195,0.63,3.691119285,0,1,1,0,0.05500000000000001
7,7,5.8589191000000005,0.62,3.6325298420000003,0,1,1,0,0.060000000000000005
8,8,5.8589193999999996,0.59,3.4567624459999995,1,0,1,0,0.065
9,9,5.8589196,0.57,3.339584172,0,0,0,0,0.07
10,10,5.8589195,0.64,3.74970848,1,1,1,1,0.07500000000000001
11,11,5.8589196,0.62,3.632530152,1,1,1,0,0.08000000000000002
12,12,5.8589198,0.54,3.163816692,1,0,0,0,0.08500000000000002
13,13,5.858920100000001,0.59,3.4567628590000004,0,0,1,0,0.09000000000000002
14,14,5.8589197,0.57,3.3395842289999997,1,0,0,1,0.095
15,15,5.8589206,0.54,3.1638171240000004,0,1,0,1,0.1
16,16,5.8589192,0.61,3.5739407119999997,0,1,0,1,0.10500000000000001
17,17,5.8589212,0.51,2.9880498120000003,1,1,0,0,0.11000000000000001
18,18,5.8589202,0.58,3.3981737159999996,1,0,1,0,0.11500000000000002
19,19,5.85892,0.52,3.0466384000000004,1,0,0,1,0.12000000000000002
