,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,two_qubit_gate_depolar_prob
0,0,12.3192,0.71,8.746632,1,1,1,0,0.04
1,1,12.3192,0.65,8.007480000000001,1,0,1,0,0.048
2,2,12.3192,0.69,8.500248,0,0,1,1,0.056
3,3,12.3192,0.67,8.253864,0,0,1,0,0.064
4,4,12.3192,0.69,8.500248,0,1,1,1,0.07200000000000001
5,5,12.3192,0.62,7.637904,0,0,0,1,0.08
6,6,12.3192,0.69,8.500248,1,0,1,0,0.088
7,7,12.3192,0.61,7.514712,1,0,1,1,0.096
8,8,12.3192,0.57,7.0219439999999995,1,0,1,1,0.10400000000000001
9,9,12.3192,0.65,8.007480000000001,0,0,1,1,0.11200000000000002
10,10,12.3192,0.65,8.007480000000001,1,1,1,0,0.12
11,11,12.3192,0.68,8.377056000000001,1,1,0,1,0.128
12,12,12.3192,0.62,7.637904,0,0,0,0,0.136
13,13,12.3192,0.72,8.869824,1,0,0,1,0.14400000000000002
14,14,12.3192,0.56,6.898752000000001,1,0,0,1,0.152
15,15,12.3192,0.65,8.007480000000001,1,0,1,0,0.16
16,16,12.3192,0.65,8.007480000000001,1,1,0,0,0.168
17,17,12.3192,0.6,7.39152,0,0,0,1,0.17600000000000002
18,18,12.3192,0.71,8.746632,1,1,0,1,0.18400000000000002
19,19,12.3192,0.65,8.007480000000001,0,0,1,1,0.192
