,id,exec_per_sec,succ_rate,succ_per_sec,m1,m2,p1,p2,measure
0,0,5.85052,0.5,2.92526,1,0,0,0,1600.0
1,1,5.852122,0.6,3.5112731999999998,1,0,0,0,2000.0
2,2,5.853719,0.8,4.6829752000000004,1,1,1,1,2400.0
3,3,5.855318,0.4,2.3421271999999997,1,0,0,1,2800.0
4,4,5.856921,0.6,3.5141525999999996,0,0,0,0,3200.0
5,5,5.858518999999999,0.7,4.100963299999999,0,0,0,0,3600.0
6,6,5.860118,0.7,4.1020826,1,0,1,1,4000.0
7,7,5.86172,0.5,2.93086,1,1,0,0,4400.0
8,8,5.863319,0.4,2.3453276,0,1,0,1,4800.0
9,9,5.864921,1.0,5.864921,0,0,1,1,5200.0
10,10,5.8665199999999995,0.8,4.693216,0,0,1,1,5600.0
11,11,5.8681220000000005,0.7,4.1076854,0,0,0,1,6000.0
12,12,5.869718000000001,0.7,4.108802600000001,0,0,1,1,6400.0
13,13,5.871319,0.4,2.3485276,0,1,1,1,6800.0
14,14,5.872922,0.8,4.6983376,0,0,0,1,7200.0
15,15,5.874522000000001,0.5,2.9372610000000003,0,1,1,1,7600.0
