,id,exec_per_sec,succ_rate,succ_per_sec,init_time
0,0,6.1596,0.64,3.9421440000000003,14400.0
1,1,6.1596,0.66,4.065336,17280.0
2,2,6.1596,0.64,3.9421440000000003,20160.0
3,3,6.1596,0.64,3.9421440000000003,23040.0
4,4,6.1596,0.65,4.0037400000000005,25920.0
5,5,6.1596,0.64,3.9421440000000003,28800.0
6,6,6.1596,0.66,4.065336,31680.0
7,7,6.1596,0.66,4.065336,34560.0
8,8,6.1596,0.61,3.757356,37440.0
9,9,6.1596,0.7,4.31172,40320.0
10,10,6.1596,0.64,3.9421440000000003,43200.0
11,11,6.1596,0.65,4.0037400000000005,46080.0
12,12,6.1596,0.64,3.9421440000000003,48960.0
13,13,6.1596,0.65,4.0037400000000005,51840.0
14,14,6.1596,0.65,4.0037400000000005,54720.0
15,15,6.1596,0.65,4.0037400000000005,57600.0
16,16,6.1596,0.64,3.9421440000000003,60480.0
17,17,6.1596,0.66,4.065336,63360.0
18,18,6.1596,0.66,4.065336,66240.0
19,19,6.1596,0.66,4.065336,69120.0
