,id,exec_per_sec,succ_rate,succ_per_sec,two_qubit_gate_depolar_prob
0,0,6.1596,0.63,3.880548,0.05
1,1,6.1596,0.63,3.880548,0.060000000000000005
2,2,6.1596,0.65,4.0037400000000005,0.07
3,3,6.1596,0.65,4.0037400000000005,0.08000000000000002
4,4,6.1596,0.64,3.9421440000000003,0.09000000000000001
5,5,6.1596,0.64,3.9421440000000003,0.1
6,6,6.1596,0.65,4.0037400000000005,0.11000000000000001
7,7,6.1596,0.66,4.065336,0.12000000000000001
8,8,6.1596,0.63,3.880548,0.13
9,9,6.1596,0.65,4.0037400000000005,0.14
10,10,6.1596,0.64,3.9421440000000003,0.15000000000000002
11,11,6.1596,0.66,4.065336,0.16000000000000003
12,12,6.1596,0.65,4.0037400000000005,0.17000000000000004
13,13,6.1596,0.67,4.126932,0.18000000000000005
14,14,6.1596,0.67,4.126932,0.19
15,15,6.1596,0.63,3.880548,0.2
16,16,6.1596,0.65,4.0037400000000005,0.21000000000000002
17,17,6.1596,0.65,4.0037400000000005,0.22000000000000003
18,18,6.1596,0.65,4.0037400000000005,0.23000000000000004
19,19,6.1596,0.64,3.9421440000000003,0.24000000000000005
