,id,exec_per_sec,succ_rate,succ_per_sec,electron_init
0,0,2.9294600999999996,0.65,1.9041490649999997,800.0
1,1,2.92946009,0.59,1.7283814531,960.0
2,2,2.92945996,0.62,1.8162651752,1120.0
3,3,2.92945993,0.65,1.9041489545,1280.0
4,4,2.92946006,0.64,1.8748544383999999,1440.0
5,5,2.92945993,0.64,1.8748543552,1600.0
6,6,2.92946002,0.64,1.8748544128,1760.0
7,7,2.92945994,0.62,1.8162651628,1920.0
8,8,2.92945989,0.63,1.8455597307,2080.0
9,9,2.92946007,0.64,1.8748544448000002,2240.0
10,10,2.92945996,0.63,1.8455597747999999,2400.0
11,11,2.92945988,0.62,1.8162651256,2560.0
12,12,2.92946007,0.65,1.9041490455,2720.0
13,13,2.92945989,0.6,1.7576759339999999,2880.0
14,14,2.9294600799999997,0.65,1.904149052,3040.0
15,15,2.9294599800000003,0.65,1.9041489870000003,3200.0
16,16,2.92945977,0.63,1.8455596551,3360.0
17,17,2.92945989,0.62,1.8162651318,3520.0
18,18,2.92945982,0.63,1.8455596866,3680.0
19,19,2.9294600799999997,0.6,1.7576760479999998,3840.0
