,id,exec_per_sec,succ_rate,succ_per_sec,measure
0,0,2.92945993,0.64,1.8748543552,1480.0
1,1,2.92945986,0.63,1.8455597118,1776.0
2,2,2.92945994,0.64,1.8748543616000002,2072.0
3,3,2.92945989,0.63,1.8455597307,2368.0
4,4,2.92946006,0.6,1.7576760359999999,2664.0
5,5,2.92945997,0.64,1.8748543808,2960.0
6,6,2.9294601499999997,0.62,1.8162652929999998,3256.0
7,7,2.92946002,0.63,1.8455598126000001,3552.0
8,8,2.9294599,0.64,1.874854336,3848.0
9,9,2.92945985,0.64,1.874854304,4144.0
10,10,2.9294600500000003,0.64,1.8748544320000002,4440.0
11,11,2.92946002,0.63,1.8455598126000001,4736.0
12,12,2.9294598,0.63,1.845559674,5032.0
13,13,2.92945991,0.62,1.8162651442,5328.0
14,14,2.92946016,0.64,1.8748545024,5624.0
15,15,2.92945999,0.63,1.8455597937,5920.0
16,16,2.92945986,0.6,1.757675916,6216.0
17,17,2.92945995,0.62,1.816265169,6512.0
18,18,2.92946027,0.64,1.8748545728,6808.0
19,19,2.92946002,0.64,1.8748544128,7104.0
